model,n_components,min_cluster_size,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
All-MPNet-Base-v2,2,2,0.4520461699895068,0.9981464318813716,0.29218665219750406,0.29218665219750406,0.9994574064026045,1178,679
All-MPNet-Base-v2,2,3,0.6805927512944117,0.9953002610966057,0.5170916983179599,0.5170916983179599,0.99755832881172,492,641
All-MPNet-Base-v2,2,4,0.7575197445807428,0.9951434878587196,0.6115029842647857,0.6115029842647857,0.9970157352143245,307,698
All-MPNet-Base-v2,2,5,0.7724183656555611,0.9927567106945037,0.6321215409658166,0.6321215409658166,0.9953879544221378,239,721
All-MPNet-Base-v2,5,2,0.5686008150591888,0.9986366734832992,0.3974498100922409,0.3974498100922409,0.9994574064026045,1046,704
All-MPNet-Base-v2,5,3,0.7037557037557037,0.9965208747514911,0.5439500813890397,0.5439500813890397,0.9981009224091155,489,754
All-MPNet-Base-v2,5,4,0.76478449716004,0.9952173913043478,0.6209983722192078,0.6209983722192078,0.9970157352143245,336,734
All-MPNet-Base-v2,5,5,0.7588521564020809,0.9947206335239771,0.6134020618556701,0.6134020618556701,0.9967444384156267,266,864
All-MPNet-Base-v2,10,2,0.5929034719572682,0.9987146529562982,0.4215952251763429,0.4215952251763429,0.9994574064026045,1013,699
All-MPNet-Base-v2,10,3,0.7232791421653407,0.9976145038167938,0.5672816060770483,0.5672816060770483,0.9986435160065111,485,683
All-MPNet-Base-v2,10,4,0.7648630594522378,0.9947871416159861,0.6212696690179056,0.6212696690179056,0.9967444384156267,346,717
All-MPNet-Base-v2,10,5,0.7872131147540984,0.9946147473073736,0.6513836136733586,0.6513836136733586,0.9964731416169289,260,793
All-MPNet-Base-v2,20,2,0.5701550387596899,0.9979647218453188,0.39907759088442757,0.39907759088442757,0.9991861096039066,994,736
All-MPNet-Base-v2,20,3,0.7449048913043478,0.9959128065395095,0.5949538795442214,0.5949538795442214,0.99755832881172,470,701
All-MPNet-Base-v2,20,4,0.7672557519173058,0.995242214532872,0.6242539338035811,0.6242539338035811,0.9970157352143245,334,773
All-MPNet-Base-v2,20,5,0.796814044213264,0.9939172749391727,0.6649484536082474,0.6649484536082474,0.9959305480195334,257,807
All-MPNet-Base-v2,50,2,0.5933269780743565,0.9980756895445798,0.42213781877373846,0.42213781877373846,0.9991861096039066,976,672
All-MPNet-Base-v2,50,3,0.7315816589386914,0.9967243799719232,0.5778621812262615,0.5778621812262615,0.9981009224091155,493,693
All-MPNet-Base-v2,50,4,0.7622237106496986,0.9956255468066492,0.6174715138361367,0.6174715138361367,0.9972870320130223,337,719
All-MPNet-Base-v2,50,5,0.7646567563053283,0.9947848761408083,0.6209983722192078,0.6209983722192078,0.9967444384156267,267,816
MPNet-Personality,2,2,0.4103448275862069,0.9979035639412998,0.25827455236028213,0.25827455236028213,0.9994574064026045,1134,674
MPNet-Personality,2,3,0.6586739327883742,0.9967014843320505,0.49186109603906675,0.49186109603906675,0.9983722192078134,483,641
MPNet-Personality,2,4,0.7141364902506964,0.9965986394557823,0.5564297341291373,0.5564297341291373,0.9981009224091155,329,689
