model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
All-MPNet-Base-v2,768,2,2,0.5131910603259956,0.6459390862944162,0.4257039308614441,0.4257039308614441,0.9997098508244986,1056,1212
All-MPNet-Base-v2,768,2,3,0.4089705653325027,0.463302752293578,0.3660440479509339,0.3660440479509339,0.9994727396703253,451,2274
All-MPNet-Base-v2,768,2,4,0.0024887277284407123,0.0012461616288548846,0.8625592417061612,0.8625592417061612,0.14039233576326046,3,352
All-MPNet-Base-v2,768,2,5,0.0025457664670916797,0.001274854371740282,0.8232506272651241,0.8232506272651241,0.198054717905324,2,494
All-MPNet-Base-v2,768,2,6,0.002737562908844266,0.0013714004073128554,0.7167549484248675,0.7167549484248675,0.3510104783024228,3,883
All-MPNet-Base-v2,768,2,7,0.002611025902996047,0.0013078006866808537,0.7463061053805409,0.7463061053805409,0.2913458241917855,2,734
All-MPNet-Base-v2,768,2,8,0.0026437795986913827,0.0013244322904099306,0.6885977139671035,0.6885977139671035,0.35436435318053067,4,911
All-MPNet-Base-v2,768,2,9,0.0026774424931448426,0.0013413121442703688,0.6930582659604126,0.6930582659604126,0.35837063038634903,3,913
All-MPNet-Base-v2,768,2,10,0.0026619217856423817,0.001333563771990036,0.6819068859771397,0.6819068859771397,0.3650215289301607,2,940
All-MPNet-Base-v2,768,2,11,0.00461054610080859,0.002324670358928165,0.2762754390855868,0.2762754390855868,0.8525660869345167,3,2673
All-MPNet-Base-v2,768,3,2,0.4940624541856033,0.5210265924551639,0.4697518817953722,0.4697518817953722,0.9994630333657686,523,1734
All-MPNet-Base-v2,768,3,3,0.3985637342908438,0.4300936390054892,0.37134095344298856,0.37134095344298856,0.9993881561591875,344,2399
All-MPNet-Base-v2,768,3,4,0.2839425587467363,0.34238488783943327,0.24254251463618623,0.24254251463618623,0.9994207416101997,176,3051
All-MPNet-Base-v2,768,3,5,0.24003038359285986,0.3764145324597975,0.1761918037357123,0.1761918037357123,0.9996370535403226,120,3383
All-MPNet-Base-v2,768,3,6,0.002737562908844266,0.0013714004073128554,0.7167549484248675,0.7167549484248675,0.3510104783024228,3,883
All-MPNet-Base-v2,768,3,7,0.0033741117574890385,0.0016928174270698453,0.49567884025648173,0.49567884025648173,0.6365190002644968,3,1735
All-MPNet-Base-v2,768,3,8,0.0026437795986913827,0.0013244322904099306,0.6885977139671035,0.6885977139671035,0.35436435318053067,2,915
All-MPNet-Base-v2,768,3,9,0.002643839978547606,0.0013244080961003948,0.7036520769445219,0.7036520769445219,0.34023717355184535,2,868
All-MPNet-Base-v2,768,3,10,0.005892941327733253,0.0029847074444030405,0.22999721215500418,0.22999721215500418,0.9044677773221207,6,2955
All-MPNet-Base-v2,768,3,11,0.0057738160170798985,0.002927823809015801,0.20657931419013104,0.20657931419013104,0.9125226234893263,4,3042
