model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean,mcc
all-mpnet-base-v2,0.1,0.0017087827228069706,0.0,0.9972121550041818,0.0,0.0034117192604285395,0.0,0.9972121550041818,0.27558867870502646,0.021511065166459436
all-mpnet-base-v2,0.11,0.0018059847696800784,0.0,0.9960970170058545,0.0,0.0036054326695792,0.0,0.9960970170058545,0.31541121972542946,0.023617495778440585
all-mpnet-base-v2,0.12,0.0019168134145771322,0.0,0.9944243100083635,0.0,0.0038262514963893573,0.0,0.9944243100083635,0.35614823329657647,0.025790652433129384
all-mpnet-base-v2,0.13,0.002046992374321618,0.0,0.9935879565096181,0.0,0.004085567652025187,0.0,0.9935879565096181,0.39767977722644426,0.028161636013886045
all-mpnet-base-v2,0.13999999999999999,0.002196851467539977,0.0,0.9924728185112908,0.0,0.004383998896611513,0.0,0.9924728185112908,0.43948136441523156,0.030655179536676087
all-mpnet-base-v2,0.14999999999999997,0.0023678305502107997,0.0,0.9908001115137999,0.0,0.004724370720865328,0.0,0.9908001115137999,0.4809213917592781,0.0332526106655118
all-mpnet-base-v2,0.15999999999999998,0.002566241562125455,0.0,0.9896849735154726,0.0,0.00511920907498776,0.0,0.9896849735154726,0.5216885642052981,0.036051848101324314
all-mpnet-base-v2,0.16999999999999998,0.002791559609607125,0.0,0.9877334820183997,0.0,0.005567384523519568,0.0,0.9877334820183997,0.5612611678833634,0.038956800241678934
all-mpnet-base-v2,0.17999999999999997,0.0030526074067167724,0.0,0.985781990521327,0.0,0.006086367552225113,0.0,0.985781990521327,0.5996780280117017,0.04207041625603969
all-mpnet-base-v2,0.18999999999999995,0.00335477426252889,0.0,0.9849456370225815,0.0,0.006686773040551219,0.0,0.9849456370225815,0.6361546671898827,0.045446402898869066
all-mpnet-base-v2,0.19999999999999996,0.0037040689160327124,0.0,0.9843880680234179,0.0,0.007380366886377674,0.0,0.9843880680234179,0.6707673492394244,0.049069140803460476
all-mpnet-base-v2,0.20999999999999996,0.004101871682652016,0.0,0.9824365765263451,0.0,0.008169633490860743,0.0,0.9824365765263451,0.7034044516579235,0.05283879894960753
all-mpnet-base-v2,0.21999999999999995,0.004563042339431221,0.0,0.981042654028436,0.0,0.009083833796043538,0.0,0.981042654028436,0.7338819013125351,0.0569145694303287
all-mpnet-base-v2,0.22999999999999995,0.005091581782807503,0.0,0.9790911625313633,0.0,0.010130481875754486,0.0,0.9790911625313633,0.7621074883099694,0.06122571909136328
all-mpnet-base-v2,0.23999999999999994,0.005703567413856773,0.0,0.9774184555338723,0.0,0.011340956509081498,0.0,0.9774184555338723,0.788126277635669,0.06587156090966083
all-mpnet-base-v2,0.24999999999999992,0.006404485335558435,0.0,0.9757457485363814,0.0,0.01272544489064298,0.0,0.9757457485363814,0.8117697955748264,0.07081225218780468
all-mpnet-base-v2,0.2599999999999999,0.007187756668744093,0.0,0.9710064120434904,0.0,0.014269882272447,0.0,0.9710064120434904,0.8332280083737676,0.07580135438190531
all-mpnet-base-v2,0.2699999999999999,0.008111932526654493,0.0,0.968497351547254,0.0,0.016089106044992994,0.0,0.968497351547254,0.8527470401837542,0.08138891855321886
all-mpnet-base-v2,0.2799999999999999,0.009172734199720612,0.0,0.9665458600501812,0.0,0.018173002581541323,0.0,0.9665458600501812,0.8701778298990925,0.08737875445512779
all-mpnet-base-v2,0.2899999999999999,0.010370125379596501,0.0,0.9615277390577084,0.0,0.020518952813547625,0.0,0.9615277390577084,0.8859020432811053,0.09349970496988841
