model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
All-MPNet-Base-v2,768,2,2,0.5084745762711864,0.648508430609598,0.41817674937273486,0.41817674937273486,0.9997181705141187,1067,1224
All-MPNet-Base-v2,768,2,3,0.4105461393596987,0.4696588868940754,0.36465012545302483,0.36465012545302483,0.9994879924346289,484,2229
All-MPNet-Base-v2,768,2,4,0.3020231213872832,0.4289379168804515,0.23306384165040422,0.23306384165040422,0.9996141743938672,319,2900
All-MPNet-Base-v2,768,2,5,0.002440113909207661,0.0012215861541455832,0.9746306105380541,0.9746306105380541,0.009139872355162004,2,48
All-MPNet-Base-v2,768,2,6,0.0025147848535604636,0.0012593269978090455,0.8185112907722331,0.8185112907722331,0.19282787290148828,7,482
All-MPNet-Base-v2,768,2,7,0.0024667525540370185,0.00123517917433305,0.8449958182325062,0.8449958182325062,0.15039884245385085,6,388
All-MPNet-Base-v2,768,2,8,0.0024218548178765176,0.0012125994860887892,0.8781711736827432,0.8781711736827432,0.10058088766235095,4,287
All-MPNet-Base-v2,768,2,9,0.0023887823437437655,0.0011959909100210074,0.8929467521605798,0.8929467521605798,0.0727321132739608,2,237
All-MPNet-Base-v2,768,2,10,0.002470302035540448,0.0012369845552814979,0.8332868692500697,0.8332868692500697,0.16339593090913754,2,431
All-MPNet-Base-v2,768,2,11,0.00247276604009905,0.0012383174410839617,0.7914691943127962,0.7914691943127962,0.20623643933923638,3,542
All-MPNet-Base-v2,768,3,2,0.49338040600176525,0.5222672064777328,0.4675216057987176,0.4675216057987176,0.9994682331717811,526,1738
All-MPNet-Base-v2,768,3,3,0.3983241059404459,0.4299095607235142,0.37106216894340677,0.37106216894340677,0.9993881561591875,344,2401
All-MPNet-Base-v2,768,3,4,0.2831511988256402,0.3411949685534591,0.24198494563702258,0.24198494563702258,0.9994190083415289,176,3051
All-MPNet-Base-v2,768,3,5,0.24069855732725892,0.3771564544913742,0.17674937273487595,0.17674937273487595,0.9996370535403226,122,3375
All-MPNet-Base-v2,768,3,6,0.002737562908844266,0.0013714004073128554,0.7167549484248675,0.7167549484248675,0.3510104783024228,3,883
All-MPNet-Base-v2,768,3,7,0.0033741117574890385,0.0016928174270698453,0.49567884025648173,0.49567884025648173,0.6365190002644968,3,1735
All-MPNet-Base-v2,768,3,8,0.0026437795986913827,0.0013244322904099306,0.6885977139671035,0.6885977139671035,0.35436435318053067,2,915
All-MPNet-Base-v2,768,3,9,0.002643839978547606,0.0013244080961003948,0.7036520769445219,0.7036520769445219,0.34023717355184535,2,868
All-MPNet-Base-v2,768,3,10,0.00451693851944793,0.0022753960526370773,0.3035963200446055,0.3035963200446055,0.8344697220495694,3,2569
All-MPNet-Base-v2,768,3,11,0.0057738160170798985,0.002927823809015801,0.20657931419013104,0.20657931419013104,0.9125226234893263,4,3042
All-MPNet-Base-v2,768,4,2,0.39867953275774504,0.3660526929354162,0.4376916643434625,0.4376916643434625,0.9990574484967881,322,2061
All-MPNet-Base-v2,768,4,3,0.357948864447936,0.3670181605155243,0.3493169779760245,0.3493169779760245,0.9992508812804557,227,2608
All-MPNet-Base-v2,768,4,4,0.2826901156163491,0.3398590446358653,0.24198494563702258,0.24198494563702258,0.9994155418041871,142,3098
All-MPNet-Base-v2,768,4,5,0.23183004099888185,0.34963462619449126,0.17340395873989406,0.17340395873989406,0.9995989216295638,94,3429
All-MPNet-Base-v2,768,4,6,0.002737561451386722,0.0013713996757927953,0.7167549484248675,0.7167549484248675,0.3510101316486886,2,883
All-MPNet-Base-v2,768,4,7,0.0033741149590191155,0.0016928190387872637,0.49567884025648173,0.49567884025648173,0.636519346918231,2,1738
All-MPNet-Base-v2,768,4,8,0.0026437795986913827,0.0013244322904099306,0.6885977139671035,0.6885977139671035,0.35436435318053067,2,915
All-MPNet-Base-v2,768,4,9,0.005412141920988579,0.0027347688159485802,0.2578756621131865,0.2578756621131865,0.8830695356191912,4,2809
All-MPNet-Base-v2,768,4,10,0.005885819389631957,0.002981100402303841,0.22971842765542236,0.22971842765542236,0.9044677773221207,4,2961
All-MPNet-Base-v2,768,4,11,0.0057738160170798985,0.002927823809015801,0.20657931419013104,0.20657931419013104,0.9125226234893263,3,3045
All-MPNet-Base-v2,768,5,2,0.3354574419663177,0.28340703710824844,0.4109283523836075,0.4109283523836075,0.9987080215327434,208,2241
All-MPNet-Base-v2,768,5,3,0.3147948164146868,0.30515571839832506,0.3250627265124059,0.3250627265124059,0.9990796343357751,149,2791
All-MPNet-Base-v2,768,5,4,0.2581252943947244,0.295470884255931,0.2291608586562587,0.2291608586562587,0.9993205586810241,109,3172
All-MPNet-Base-v2,768,5,5,0.2261615973129315,0.34198645598194133,0.1689434067465849,0.1689434067465849,0.9995958017459562,76,3481
All-MPNet-Base-v2,768,5,6,0.002737561451386722,0.0013713996757927953,0.7167549484248675,0.7167549484248675,0.3510101316486886,2,883
All-MPNet-Base-v2,768,5,7,0.0033741149590191155,0.0016928190387872637,0.49567884025648173,0.49567884025648173,0.636519346918231,2,1738
